outbreak_setting,causative_agent,month,duration
Hospital-Acute Care,Norovirus,Mar,10
LTCH,Metapneumovirus,Mar,13
Retirement Home,Influenza,Mar,16
Retirement Home,Influenza,Mar,18
Hospital-Acute Care,Influenza,Mar,7
LTCH,Influenza,Mar,18
LTCH,Influenza,Mar,17
Hospital-Acute Care,Influenza,Mar,7
LTCH,Influenza,Mar,18
LTCH,Norovirus,Mar,12
LTCH,Influenza,Feb,15
Retirement Home,Influenza,Feb,7
LTCH,Influenza,Feb,9
LTCH,Influenza,Feb,12
LTCH,Influenza,Feb,6
LTCH,Influenza,Feb,6
Hospital-Chronic Care,Influenza,Feb,12
Retirement Home,Norovirus,Feb,13
Retirement Home,Influenza,Feb,11
LTCH,Influenza,Feb,17
Hospital-Acute Care,Influenza,Feb,7
Retirement Home,Influenza,Feb,22
Hospital-Acute Care,Norovirus,Feb,7
LTCH,Influenza,Feb,9
LTCH,Influenza,Feb,9
LTCH,Influenza,Feb,9
LTCH,Influenza,Feb,8
LTCH,Influenza,Feb,16
Hospital-Chronic Care,Influenza,Feb,5
Retirement Home,Norovirus,Feb,7
LTCH,Norovirus,Feb,8
LTCH,Influenza,Feb,22
LTCH,Influenza,Feb,10
Hospital-Acute Care,Influenza,Feb,14
Hospital-Chronic Care,Norovirus,Feb,9
LTCH,Influenza,Feb,12
Hospital-Acute Care,Influenza,Feb,8
Hospital-Acute Care,Influenza,Feb,6
LTCH,Influenza,Feb,19
Hospital-Acute Care,Influenza,Feb,4
LTCH,Influenza,Feb,14
LTCH,Influenza,Feb,13
Hospital-Acute Care,Norovirus,Feb,10
Hospital-Acute Care,Norovirus,Feb,11
LTCH,Influenza,Feb,10
Retirement Home,Norovirus,Feb,13
Retirement Home,Influenza,Feb,16
Hospital-Acute Care,Norovirus,Feb,8
LTCH,Influenza,Feb,12
Hospital-Chronic Care,Influenza,Feb,11
Hospital-Chronic Care,Influenza,Feb,10
LTCH,Influenza,Feb,9
Hospital-Psychiatric,Influenza,Feb,9
LTCH,Influenza,Feb,12
LTCH,Influenza,Feb,15
LTCH,Influenza,Feb,22
Retirement Home,Influenza,Feb,17
Retirement Home,Influenza,Feb,12
Hospital-Chronic Care,Influenza,Feb,9
LTCH,Influenza,Feb,7
LTCH,Influenza,Feb,12
LTCH,Influenza,Feb,18
Hospital-Chronic Care,Influenza,Feb,9
Hospital-Chronic Care,Influenza,Feb,13
Hospital-Acute Care,Influenza,Feb,7
Retirement Home,Norovirus,Feb,15
LTCH,Influenza,Feb,8
LTCH,Norovirus,Feb,20
LTCH,Influenza,Feb,22
Retirement Home,Influenza,Feb,15
Hospital-Chronic Care,Coronavirus,Feb,13
Retirement Home,Influenza,Feb,16
LTCH,Influenza,Feb,11
Retirement Home,Influenza,Feb,11
LTCH,Influenza,Feb,10
LTCH,Influenza,Feb,17
LTCH,Influenza,Feb,17
LTCH,Influenza,Feb,21
LTCH,Influenza,Feb,13
Hospital-Acute Care,Influenza,Feb,8
Hospital-Acute Care,Influenza,Feb,8
Hospital-Chronic Care,Influenza,Feb,11
LTCH,Influenza,Feb,16
LTCH,Norovirus,Feb,11
LTCH,Influenza,Feb,15
LTCH,Influenza,Feb,25
Hospital-Chronic Care,Influenza,Feb,25
Hospital-Chronic Care,Influenza,Feb,10
LTCH,Influenza,Jan,21
LTCH,Influenza,Jan,14
LTCH,Influenza,Jan,16
LTCH,Influenza,Jan,8
Hospital-Chronic Care,Influenza,Jan,8
LTCH,Influenza,Jan,11
Hospital-Acute Care,Influenza,Jan,7
Retirement Home,Influenza,Jan,27
Hospital-Acute Care,Influenza,Jan,8
LTCH,Norovirus,Jan,10
LTCH,Influenza,Jan,24
LTCH,Influenza,Jan,16
LTCH,Influenza,Jan,15
LTCH,Respiratory syncytial virus,Jan,9
LTCH,Influenza,Jan,29
LTCH,Norovirus,Jan,22
LTCH,Influenza,Jan,25
LTCH,Influenza,Jan,23
LTCH,Influenza,Jan,23
Retirement Home,Influenza,Jan,11
Hospital-Chronic Care,Influenza,Jan,10
Retirement Home,Influenza,Jan,9
Hospital-Chronic Care,Influenza,Jan,15
Hospital-Psychiatric,Influenza,Jan,8
LTCH,Influenza,Jan,17
LTCH,Norovirus,Jan,25
Retirement Home,Influenza,Jan,11
Retirement Home,Influenza,Jan,10
Retirement Home,Influenza,Jan,16
LTCH,Influenza,Jan,19
LTCH,Influenza,Jan,26
Hospital-Psychiatric,Influenza,Jan,11
LTCH,Influenza,Jan,19
LTCH,Influenza,Jan,8
Hospital-Chronic Care,Influenza,Jan,6
Hospital-Chronic Care,Influenza,Jan,9
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,20
LTCH,Influenza,Jan,13
Retirement Home,Influenza,Jan,15
Hospital-Chronic Care,Influenza,Jan,11
LTCH,Influenza,Jan,10
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,12
LTCH,Influenza,Jan,23
LTCH,Influenza,Jan,18
Hospital-Acute Care,Influenza,Jan,10
LTCH,Influenza,Jan,15
LTCH,Norovirus,Jan,15
LTCH,Influenza,Jan,35
Hospital-Chronic Care,Influenza,Jan,8
LTCH,Influenza,Jan,8
LTCH,Metapneumovirus,Jan,11
Retirement Home,Influenza,Jan,14
Hospital-Acute Care,Influenza,Jan,20
LTCH,Influenza,Jan,12
Hospital-Chronic Care,Influenza,Jan,7
LTCH,Respiratory syncytial virus,Jan,12
Hospital-Acute Care,Norovirus,Jan,9
Retirement Home,Norovirus,Jan,15
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,28
LTCH,Influenza,Jan,13
LTCH,Influenza,Jan,21
Retirement Home,Norovirus,Jan,8
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,14
LTCH,Influenza,Jan,15
LTCH,Influenza,Jan,28
Retirement Home,Influenza,Jan,11
Retirement Home,Influenza,Jan,14
LTCH,Influenza,Jan,10
LTCH,Norovirus,Jan,5
Hospital-Chronic Care,Influenza,Jan,6
Retirement Home,Influenza,Jan,11
LTCH,Influenza,Jan,28
LTCH,Influenza,Jan,26
Retirement Home,Influenza,Jan,14
LTCH,Influenza,Jan,22
Hospital-Acute Care,Influenza,Jan,8
LTCH,Influenza,Jan,15
Retirement Home,Influenza,Jan,15
LTCH,Influenza,Jan,26
LTCH,Influenza,Jan,12
LTCH,Respiratory syncytial virus,Jan,16
LTCH,Norovirus,Jan,27
LTCH,Influenza,Jan,28
LTCH,Influenza,Jan,27
LTCH,Norovirus,Jan,15
LTCH,Norovirus,Jan,20
LTCH,Norovirus,Jan,14
Retirement Home,Norovirus,Jan,4
LTCH,Coronavirus,Dec,10
LTCH,Influenza,Dec,14
Hospital-Acute Care,Influenza,Dec,8
LTCH,Influenza,Dec,14
LTCH,Influenza,Dec,7
LTCH,Influenza,Dec,8
LTCH,Influenza,Dec,21
LTCH,Influenza,Dec,16
Retirement Home,Enterovirus/Rhinovirus,Dec,20
Hospital-Acute Care,Metapneumovirus,Dec,15
LTCH,Influenza,Dec,17
Retirement Home,Metapneumovirus,Dec,14
Hospital-Acute Care,Norovirus,Dec,14
LTCH,Influenza,Dec,8
LTCH,Enterovirus/Rhinovirus,Dec,16
LTCH,Metapneumovirus,Dec,21
LTCH,Norovirus,Dec,21
LTCH,Influenza,Dec,13
LTCH,Respiratory syncytial virus,Dec,25
LTCH,Norovirus,Dec,19
Hospital-Acute Care,Influenza,Dec,7
LTCH,Norovirus,Dec,19
LTCH,Coronavirus,Dec,17
Hospital-Acute Care,Norovirus,Dec,7
Hospital-Chronic Care,Enterovirus/Rhinovirus,Dec,7
Hospital-Chronic Care,Parainfluenza,Dec,6
Hospital-Acute Care,Influenza,Nov,6
LTCH,Influenza,Nov,11
LTCH,Norovirus,Nov,22
LTCH,Respiratory syncytial virus,Nov,14
LTCH,Respiratory syncytial virus,Nov,21
LTCH,Enterovirus/Rhinovirus,Nov,8
Hospital-Acute Care,Norovirus,Nov,4
Hospital-Acute Care,Norovirus,Nov,8
LTCH,Enterovirus/Rhinovirus,Nov,13
LTCH,Enterovirus/Rhinovirus,Oct,15
Hospital-Acute Care,Enterovirus/Rhinovirus,Oct,9
Hospital-Chronic Care,Parainfluenza,Aug,8
LTCH,Enterovirus/Rhinovirus,Jul,8
LTCH,Parainfluenza,Jun,19
LTCH,Metapneumovirus,Jun,15
LTCH,Parainfluenza,May,7
LTCH,Metapneumovirus,May,11
LTCH,Metapneumovirus,May,12
Hospital-Chronic Care,Parainfluenza,May,14
LTCH,Parainfluenza,May,9
LTCH,Metapneumovirus,May,15
Hospital-Chronic Care,Influenza,May,12
LTCH,Metapneumovirus,May,8
Hospital-Acute Care,Parainfluenza,May,6
LTCH,Influenza,Apr,19
LTCH,Influenza,Apr,10
Retirement Home,Influenza,Apr,13
Retirement Home,Influenza,Apr,11
LTCH,Influenza,Apr,17
LTCH,Influenza,Apr,11
Hospital-Chronic Care,Influenza,Apr,7
Hospital-Chronic Care,Influenza,Apr,5
Hospital-Acute Care,Influenza,Apr,11
Hospital-Chronic Care,Enterovirus/Rhinovirus,Apr,7
LTCH,Influenza,Apr,21
Retirement Home,Metapneumovirus,Apr,21
Retirement Home,Norovirus,Apr,15
LTCH,Influenza,Apr,12
LTCH,Respiratory syncytial virus,Apr,17
Retirement Home,Influenza,Mar,9
LTCH,Parainfluenza,Mar,13
Hospital-Psychiatric,Norovirus,Mar,21
Hospital-Acute Care,Metapneumovirus,Mar,10
Hospital-Chronic Care,Influenza,Mar,15
LTCH,Norovirus,Mar,10
LTCH,Influenza,Mar,19
Hospital-Chronic Care,Influenza,Mar,7
LTCH,Influenza,Mar,8
Retirement Home,Influenza,Mar,10
LTCH,Influenza,Mar,11
LTCH,Respiratory syncytial virus,Mar,12
LTCH,Metapneumovirus,Mar,10
LTCH,Influenza,Mar,11
Retirement Home,Influenza,Mar,12
Hospital-Acute Care,Influenza,Mar,8
LTCH,Influenza,Mar,10
Hospital-Acute Care,Norovirus,Mar,10
Retirement Home,Norovirus,Mar,15
LTCH,Influenza,Mar,8
Retirement Home,Metapneumovirus,Mar,14
LTCH,Influenza,Mar,14
LTCH,Norovirus,Mar,14
LTCH,Norovirus,Mar,17
LTCH,Respiratory syncytial virus,Mar,10
LTCH,Parainfluenza,Mar,16
Hospital-Acute Care,Influenza,Mar,7
LTCH,Norovirus,Mar,22
Hospital-Acute Care,Norovirus,Mar,9
Hospital-Chronic Care,Respiratory syncytial virus,Mar,8
Hospital-Acute Care,Influenza,Mar,8
LTCH,Influenza,Mar,13
Hospital-Chronic Care,Influenza,Mar,8
LTCH,Influenza,Mar,28
LTCH,Influenza,Mar,20
LTCH,Metapneumovirus,Mar,14
Hospital-Acute Care,Influenza,Mar,8
Hospital-Acute Care,Influenza,Mar,9
Hospital-Chronic Care,Influenza,Mar,8
Hospital-Chronic Care,Influenza,Mar,8
Retirement Home,Influenza,Mar,15
LTCH,Respiratory syncytial virus,Mar,10
LTCH,Influenza,Feb,19
Retirement Home,Influenza,Feb,12
Hospital-Chronic Care,Influenza,Feb,9
LTCH,Influenza,Feb,10
LTCH,Metapneumovirus,Feb,21
LTCH,Enterovirus/Rhinovirus,Feb,13
LTCH,Influenza,Feb,9
Hospital-Chronic Care,Respiratory syncytial virus,Feb,12
LTCH,Influenza,Feb,16
Hospital-Chronic Care,Metapneumovirus,Feb,16
LTCH,Influenza,Feb,8
LTCH,Respiratory syncytial virus,Feb,24
LTCH,Influenza,Feb,9
Retirement Home,Influenza,Feb,8
Hospital-Chronic Care,Influenza,Feb,10
LTCH,Influenza,Feb,11
LTCH,Influenza,Feb,10
LTCH,Influenza,Feb,7
LTCH,Influenza,Feb,12
LTCH,Respiratory syncytial virus,Feb,14
LTCH,Influenza,Feb,11
LTCH,Respiratory syncytial virus,Feb,26
LTCH,Influenza,Feb,13
LTCH,Influenza,Feb,21
LTCH,Respiratory syncytial virus,Feb,17
Hospital-Chronic Care,Influenza,Feb,8
LTCH,Influenza,Feb,9
LTCH,Norovirus,Feb,10
LTCH,Enterovirus/Rhinovirus,Feb,8
LTCH,Respiratory syncytial virus,Feb,17
LTCH,Influenza,Feb,10
LTCH,Influenza,Feb,12
Retirement Home,Norovirus,Feb,10
Retirement Home,Norovirus,Feb,16
Retirement Home,Influenza,Feb,12
LTCH,Enterovirus/Rhinovirus,Feb,10
LTCH,Influenza,Feb,12
LTCH,Respiratory syncytial virus,Feb,9
LTCH,Norovirus,Jan,11
LTCH,Influenza,Jan,8
Hospital-Acute Care,Influenza,Jan,8
LTCH,Respiratory syncytial virus,Jan,7
Hospital-Psychiatric,Influenza,Jan,7
LTCH,Respiratory syncytial virus,Jan,11
LTCH,Respiratory syncytial virus,Jan,10
LTCH,Respiratory syncytial virus,Jan,9
LTCH,Respiratory syncytial virus,Jan,20
Retirement Home,Influenza,Jan,8
Hospital-Chronic Care,Influenza,Jan,9
Hospital-Chronic Care,Influenza,Jan,7
Hospital-Chronic Care,Influenza,Jan,8
LTCH,Influenza,Jan,15
Retirement Home,Respiratory syncytial virus,Jan,11
LTCH,Respiratory syncytial virus,Jan,15
Hospital-Chronic Care,Respiratory syncytial virus,Jan,17
LTCH,Metapneumovirus,Jan,14
Hospital-Acute Care,Norovirus,Jan,7
LTCH,Influenza,Jan,17
Retirement Home,Parainfluenza,Jan,11
LTCH,Influenza,Jan,11
Hospital-Acute Care,Respiratory syncytial virus,Jan,9
LTCH,Influenza,Jan,14
LTCH,Influenza,Jan,10
LTCH,Respiratory syncytial virus,Jan,18
LTCH,Respiratory syncytial virus,Jan,14
Retirement Home,Influenza,Jan,15
LTCH,Respiratory syncytial virus,Jan,10
LTCH,Influenza,Jan,13
LTCH,Influenza,Jan,20
Retirement Home,Influenza,Jan,12
Hospital-Chronic Care,Respiratory syncytial virus,Jan,14
Hospital-Acute Care,Influenza,Jan,8
LTCH,Influenza,Jan,11
LTCH,Influenza,Jan,18
LTCH,Influenza,Jan,13
LTCH,Respiratory syncytial virus,Jan,12
LTCH,Influenza,Jan,20
LTCH,Enterovirus/Rhinovirus,Jan,13
Hospital-Chronic Care,Influenza,Jan,14
LTCH,Influenza,Jan,9
LTCH,Respiratory syncytial virus,Jan,9
Hospital-Acute Care,Influenza,Jan,8
Retirement Home,Influenza,Jan,11
LTCH,Respiratory syncytial virus,Jan,24
LTCH,Influenza,Jan,7
Hospital-Acute Care,Influenza,Jan,9
Hospital-Acute Care,Influenza,Jan,10
LTCH,Influenza,Jan,4
LTCH,Influenza,Jan,10
LTCH,Respiratory syncytial virus,Jan,18
LTCH,Norovirus,Jan,6
LTCH,Norovirus,Jan,6
LTCH,Influenza,Jan,27
LTCH,Influenza,Jan,22
LTCH,Influenza,Jan,7
LTCH,Influenza,Jan,16
LTCH,Influenza,Jan,6
LTCH,Respiratory syncytial virus,Jan,14
LTCH,Respiratory syncytial virus,Jan,14
LTCH,Norovirus,Jan,29
LTCH,COVID-19,Dec,19
Retirement Home,COVID-19,Dec,31
Hospital-Chronic Care,COVID-19,Dec,20
Retirement Home,COVID-19,Dec,26
Hospital-Chronic Care,COVID-19,Dec,14
Retirement Home,COVID-19,Dec,27
Retirement Home,COVID-19,Dec,36
LTCH,COVID-19,Dec,51
LTCH,COVID-19,Dec,21
Hospital-Acute Care,COVID-19,Dec,17
Retirement Home,COVID-19,Dec,21
Retirement Home,COVID-19,Dec,47
Hospital-Acute Care,COVID-19,Dec,14
Hospital-Acute Care,COVID-19,Dec,14
LTCH,COVID-19,Dec,44
LTCH,COVID-19,Dec,81
Retirement Home,COVID-19,Dec,55
Retirement Home,COVID-19,Dec,43
Retirement Home,COVID-19,Dec,40
Retirement Home,COVID-19,Dec,30
LTCH,COVID-19,Dec,27
Retirement Home,COVID-19,Dec,36
Hospital-Chronic Care,COVID-19,Dec,37
Retirement Home,COVID-19,Dec,33
Retirement Home,COVID-19,Dec,45
Retirement Home,COVID-19,Dec,33
Retirement Home,COVID-19,Dec,37
Hospital-Acute Care,COVID-19,Dec,17
LTCH,COVID-19,Dec,38
Hospital-Chronic Care,COVID-19,Dec,19
LTCH,COVID-19,Dec,20
LTCH,COVID-19,Dec,22
Retirement Home,COVID-19,Dec,43
LTCH,COVID-19,Dec,48
Hospital-Chronic Care,COVID-19,Dec,24
LTCH,COVID-19,Dec,43
LTCH,COVID-19,Dec,31
LTCH,COVID-19,Dec,49
LTCH,COVID-19,Dec,46
Hospital-Acute Care,COVID-19,Dec,10
Retirement Home,COVID-19,Dec,40
Hospital-Acute Care,COVID-19,Dec,17
Hospital-Acute Care,COVID-19,Dec,41
LTCH,COVID-19,Dec,24
Hospital-Chronic Care,COVID-19,Dec,19
LTCH,COVID-19,Dec,44
Hospital-Psychiatric,COVID-19,Dec,31
Retirement Home,COVID-19,Dec,39
LTCH,COVID-19,Dec,43
LTCH,COVID-19,Dec,39
Retirement Home,COVID-19,Dec,37
Retirement Home,COVID-19,Dec,35
LTCH,COVID-19,Dec,27
LTCH,COVID-19,Dec,38
LTCH,COVID-19,Dec,39
LTCH,COVID-19,Dec,46
LTCH,COVID-19,Dec,40
Retirement Home,COVID-19,Dec,50
LTCH,COVID-19,Dec,36
Retirement Home,COVID-19,Dec,36
Hospital-Chronic Care,COVID-19,Dec,21
LTCH,COVID-19,Dec,72
Hospital-Acute Care,COVID-19,Dec,12
Retirement Home,COVID-19,Dec,34
LTCH,COVID-19,Dec,49
LTCH,COVID-19,Dec,44
Hospital-Chronic Care,COVID-19,Dec,15
Hospital-Chronic Care,COVID-19,Dec,32
LTCH,COVID-19,Dec,63
Retirement Home,COVID-19,Dec,39
LTCH,COVID-19,Dec,62
LTCH,COVID-19,Dec,39
Hospital-Chronic Care,COVID-19,Dec,20
Retirement Home,COVID-19,Dec,48
LTCH,COVID-19,Dec,45
Hospital-Acute Care,COVID-19,Dec,19
Hospital-Acute Care,COVID-19,Dec,40
Retirement Home,COVID-19,Dec,45
LTCH,COVID-19,Dec,54
LTCH,COVID-19,Dec,61
LTCH,COVID-19,Dec,48
LTCH,COVID-19,Dec,75
LTCH,COVID-19,Dec,47
LTCH,COVID-19,Dec,73
LTCH,COVID-19,Dec,33
LTCH,COVID-19,Dec,46
LTCH,COVID-19,Dec,49
Hospital-Chronic Care,COVID-19,Dec,19
Hospital-Acute Care,COVID-19,Dec,20
Retirement Home,COVID-19,Dec,48
LTCH,COVID-19,Dec,42
Retirement Home,COVID-19,Dec,26
Hospital-Acute Care,COVID-19,Dec,20
Hospital-Acute Care,COVID-19,Dec,18
LTCH,COVID-19,Dec,54
LTCH,COVID-19,Dec,48
LTCH,COVID-19,Dec,55
LTCH,COVID-19,Dec,27
LTCH,COVID-19,Dec,50
LTCH,COVID-19,Dec,37
LTCH,COVID-19,Dec,41
LTCH,COVID-19,Dec,55
Hospital-Acute Care,COVID-19,Dec,20
LTCH,COVID-19,Dec,55
LTCH,COVID-19,Dec,56
LTCH,COVID-19,Dec,55
LTCH,COVID-19,Dec,49
LTCH,COVID-19,Dec,15
Retirement Home,COVID-19,Dec,46
LTCH,COVID-19,Dec,37
LTCH,COVID-19,Dec,37
LTCH,COVID-19,Dec,48
LTCH,COVID-19,Dec,48
LTCH,COVID-19,Dec,66
LTCH,COVID-19,Dec,37
LTCH,COVID-19,Dec,28
LTCH,COVID-19,Dec,67
LTCH,COVID-19,Dec,39
LTCH,COVID-19,Dec,50
LTCH,COVID-19,Dec,50
LTCH,COVID-19,Dec,54
Retirement Home,COVID-19,Dec,48
LTCH,COVID-19,Dec,66
LTCH,COVID-19,Dec,51
LTCH,COVID-19,Dec,54
Hospital-Acute Care,COVID-19,Dec,19
LTCH,COVID-19,Dec,52
LTCH,Coronavirus,Dec,7
Retirement Home,COVID-19,Dec,34
LTCH,COVID-19,Dec,58
LTCH,Coronavirus,Dec,26
Retirement Home,COVID-19,Dec,49
LTCH,COVID-19,Dec,63
LTCH,COVID-19,Dec,54
LTCH,COVID-19,Dec,62
LTCH,COVID-19,Dec,65
Retirement Home,Coronavirus,Dec,12
LTCH,COVID-19,Dec,52
LTCH,COVID-19,Dec,60
LTCH,COVID-19,Dec,54
LTCH,COVID-19,Dec,50
Hospital-Acute Care,COVID-19,Dec,15
LTCH,COVID-19,Dec,65
LTCH,COVID-19,Dec,24
LTCH,Respiratory syncytial virus,Dec,7
LTCH,Respiratory syncytial virus,Dec,12
LTCH,COVID-19,Dec,15
Hospital-Acute Care,COVID-19,Dec,19
LTCH,Enterovirus/Rhinovirus,Dec,19
LTCH,Enterovirus/Rhinovirus,Nov,15
Hospital-Acute Care,COVID-19,Nov,16
Hospital-Chronic Care,Enterovirus/Rhinovirus,Nov,16
Retirement Home,Enterovirus/Rhinovirus,Nov,15
LTCH,Coronavirus,Nov,27
Hospital-Acute Care,COVID-19,Nov,14
LTCH,Enterovirus/Rhinovirus,Nov,12
LTCH,Enterovirus/Rhinovirus,Nov,29
LTCH,Metapneumovirus,Nov,12
Hospital-Acute Care,COVID-19,Nov,14
LTCH,Enterovirus/Rhinovirus,Oct,10
LTCH,Enterovirus/Rhinovirus,Oct,13
Retirement Home,Enterovirus/Rhinovirus,Oct,9
Retirement Home,Coronavirus,Oct,10
Retirement Home,COVID-19,Oct,16
LTCH,Coronavirus,Oct,11
LTCH,Enterovirus/Rhinovirus,Sep,1
Retirement Home,COVID-19,Sep,16
LTCH,Parainfluenza,Sep,15
LTCH,COVID-19,Sep,30
LTCH,COVID-19,Sep,24
LTCH,COVID-19,Sep,14
Retirement Home,COVID-19,Sep,15
LTCH,COVID-19,Sep,28
LTCH,Enterovirus/Rhinovirus,Sep,13
LTCH,Enterovirus/Rhinovirus,Sep,17
Hospital-Acute Care,COVID-19,Sep,18
LTCH,Enterovirus/Rhinovirus,Aug,6
Hospital-Chronic Care,Enterovirus/Rhinovirus,Aug,13
Retirement Home,Enterovirus/Rhinovirus,Aug,10
LTCH,Enterovirus/Rhinovirus,Aug,27
LTCH,Enterovirus/Rhinovirus,Aug,17
LTCH,COVID-19,Aug,14
LTCH,Enterovirus/Rhinovirus,Aug,11
Retirement Home,COVID-19,Aug,13
Hospital-Acute Care,COVID-19,Aug,7
LTCH,Enterovirus/Rhinovirus,Jul,20
LTCH,COVID-19,Jul,39
Hospital-Acute Care,COVID-19,Jul,14
Hospital-Chronic Care,COVID-19,Jul,16
Hospital-Acute Care,COVID-19,Jul,17
Hospital-Acute Care,COVID-19,Jun,13
Hospital-Acute Care,COVID-19,Jun,20
Hospital-Acute Care,COVID-19,May,9
Hospital-Acute Care,COVID-19,May,15
LTCH,COVID-19,May,14
Hospital-Acute Care,COVID-19,May,15
LTCH,COVID-19,May,17
Hospital-Acute Care,COVID-19,May,18
Hospital-Chronic Care,COVID-19,May,23
LTCH,COVID-19,May,30
Retirement Home,COVID-19,May,18
Hospital-Acute Care,COVID-19,May,19
Hospital-Acute Care,COVID-19,May,11
Hospital-Chronic Care,COVID-19,May,14
Hospital-Chronic Care,COVID-19,May,15
Hospital-Acute Care,COVID-19,May,28
Hospital-Acute Care,COVID-19,May,25
Hospital-Chronic Care,COVID-19,May,15
Hospital-Acute Care,COVID-19,Apr,18
Retirement Home,Norovirus,Apr,16
LTCH,COVID-19,Apr,57
LTCH,COVID-19,Apr,35
LTCH,COVID-19,Apr,40
Hospital-Acute Care,COVID-19,Apr,14
LTCH,COVID-19,Apr,20
Hospital-Chronic Care,COVID-19,Apr,14
Hospital-Chronic Care,COVID-19,Apr,20
Hospital-Acute Care,COVID-19,Apr,16
Hospital-Acute Care,COVID-19,Apr,21
LTCH,COVID-19,Apr,17
LTCH,COVID-19,Apr,19
Hospital-Acute Care,COVID-19,Apr,25
LTCH,COVID-19,Apr,42
Hospital-Acute Care,COVID-19,Apr,11
Hospital-Chronic Care,COVID-19,Apr,10
LTCH,COVID-19,Apr,14
LTCH,COVID-19,Apr,23
LTCH,COVID-19,Apr,38
Hospital-Acute Care,COVID-19,Apr,14
Hospital-Acute Care,COVID-19,Apr,34
LTCH,COVID-19,Apr,22
LTCH,COVID-19,Apr,17
LTCH,COVID-19,Apr,24
LTCH,COVID-19,Apr,44
LTCH,COVID-19,Apr,12
Hospital-Chronic Care,COVID-19,Apr,22
Hospital-Acute Care,COVID-19,Apr,15
Hospital-Acute Care,COVID-19,Apr,8
Hospital-Acute Care,COVID-19,Apr,18
LTCH,COVID-19,Apr,32
Hospital-Acute Care,COVID-19,Apr,23
LTCH,COVID-19,Apr,26
LTCH,COVID-19,Apr,20
Hospital-Acute Care,COVID-19,Apr,16
LTCH,COVID-19,Apr,15
Hospital-Chronic Care,COVID-19,Apr,12
LTCH,COVID-19,Apr,32
Hospital-Chronic Care,COVID-19,Apr,26
Hospital-Chronic Care,COVID-19,Apr,21
Hospital-Chronic Care,COVID-19,Apr,14
Hospital-Acute Care,COVID-19,Apr,9
Hospital-Acute Care,COVID-19,Apr,7
LTCH,COVID-19,Apr,15
LTCH,COVID-19,Apr,28
Hospital-Acute Care,COVID-19,Apr,22
Hospital-Chronic Care,COVID-19,Apr,15
LTCH,COVID-19,Apr,46
Hospital-Acute Care,COVID-19,Apr,10
LTCH,COVID-19,Apr,15
Hospital-Acute Care,COVID-19,Apr,32
LTCH,COVID-19,Apr,15
LTCH,COVID-19,Mar,27
Hospital-Acute Care,COVID-19,Mar,19
Hospital-Acute Care,COVID-19,Mar,13
Hospital-Acute Care,COVID-19,Mar,12
LTCH,COVID-19,Mar,15
Hospital-Acute Care,COVID-19,Mar,21
Hospital-Acute Care,COVID-19,Mar,19
Hospital-Acute Care,COVID-19,Mar,10
LTCH,COVID-19,Mar,30
LTCH,COVID-19,Mar,33
Hospital-Acute Care,COVID-19,Mar,23
LTCH,COVID-19,Mar,63
LTCH,COVID-19,Mar,14
Hospital-Acute Care,COVID-19,Mar,20
LTCH,COVID-19,Feb,17
Hospital-Psychiatric,COVID-19,Feb,14
Hospital-Acute Care,COVID-19,Feb,11
LTCH,COVID-19,Feb,18
LTCH,COVID-19,Feb,14
LTCH,COVID-19,Feb,54
Hospital-Psychiatric,COVID-19,Feb,14
Hospital-Acute Care,COVID-19,Feb,11
Hospital-Acute Care,COVID-19,Feb,18
Hospital-Acute Care,COVID-19,Feb,14
LTCH,COVID-19,Feb,66
Hospital-Chronic Care,COVID-19,Feb,26
Hospital-Acute Care,COVID-19,Feb,17
Hospital-Acute Care,COVID-19,Feb,23
Hospital-Acute Care,COVID-19,Feb,7
Hospital-Acute Care,COVID-19,Feb,9
Hospital-Acute Care,COVID-19,Feb,21
Hospital-Acute Care,COVID-19,Feb,26
LTCH,COVID-19,Feb,16
Hospital-Acute Care,COVID-19,Feb,15
Retirement Home,COVID-19,Feb,20
Hospital-Acute Care,COVID-19,Feb,14
Retirement Home,COVID-19,Feb,21
LTCH,COVID-19,Feb,22
Hospital-Chronic Care,COVID-19,Feb,19
Hospital-Acute Care,COVID-19,Feb,15
Hospital-Acute Care,COVID-19,Feb,19
LTCH,COVID-19,Feb,18
LTCH,COVID-19,Feb,18
Retirement Home,COVID-19,Feb,17
Hospital-Chronic Care,COVID-19,Feb,18
LTCH,COVID-19,Jan,20
Retirement Home,COVID-19,Jan,14
Hospital-Acute Care,COVID-19,Jan,25
LTCH,COVID-19,Jan,22
Hospital-Chronic Care,COVID-19,Jan,16
Hospital-Acute Care,COVID-19,Jan,36
Retirement Home,COVID-19,Jan,31
Hospital-Chronic Care,COVID-19,Jan,22
Hospital-Acute Care,COVID-19,Jan,7
Hospital-Acute Care,COVID-19,Jan,16
Hospital-Chronic Care,COVID-19,Jan,22
Hospital-Chronic Care,COVID-19,Jan,15
Hospital-Acute Care,COVID-19,Jan,15
Hospital-Acute Care,COVID-19,Jan,16
Retirement Home,COVID-19,Jan,16
Hospital-Acute Care,COVID-19,Jan,31
Hospital-Acute Care,COVID-19,Jan,14
